panel,model,sample_type,pattern,label,count,total,proportion
state_patterns,internvl3_5_8b,Aligned,Confusion,,16,194,0.08247422680412371
state_patterns,internvl3_5_8b,Aligned,Consensus,,167,194,0.8608247422680413
state_patterns,internvl3_5_8b,Aligned,Dominant,,11,194,0.05670103092783505
state_patterns,internvl3_5_8b,Conflict,Balanced,,1,110,0.00909090909090909
state_patterns,internvl3_5_8b,Conflict,Confusion,,46,110,0.41818181818181815
state_patterns,internvl3_5_8b,Conflict,Consensus,,31,110,0.2818181818181818
state_patterns,internvl3_5_8b,Conflict,Dominant,,32,110,0.2909090909090909
state_patterns,qwen2_5_omni_7b,Aligned,Balanced,,3,175,0.017142857142857144
state_patterns,qwen2_5_omni_7b,Aligned,Confusion,,9,175,0.05142857142857143
state_patterns,qwen2_5_omni_7b,Aligned,Consensus,,154,175,0.88
state_patterns,qwen2_5_omni_7b,Aligned,Dominant,,9,175,0.05142857142857143
state_patterns,qwen2_5_omni_7b,Conflict,Confusion,,3,130,0.023076923076923078
state_patterns,qwen2_5_omni_7b,Conflict,Consensus,,14,130,0.1076923076923077
state_patterns,qwen2_5_omni_7b,Conflict,Dominant,,113,130,0.8692307692307693
state_patterns,qwen3_vl_8b,Aligned,Confusion,,11,194,0.05670103092783505
state_patterns,qwen3_vl_8b,Aligned,Consensus,,176,194,0.9072164948453608
state_patterns,qwen3_vl_8b,Aligned,Dominant,,7,194,0.03608247422680412
state_patterns,qwen3_vl_8b,Conflict,Confusion,,47,110,0.42727272727272725
state_patterns,qwen3_vl_8b,Conflict,Consensus,,47,110,0.42727272727272725
state_patterns,qwen3_vl_8b,Conflict,Dominant,,16,110,0.14545454545454545
misread_by_pattern,pooled,Conflict,Confusion,NON_MISREAD,65,96,0.6770833333333334
misread_by_pattern,pooled,Conflict,Confusion,MISREAD,31,96,0.3229166666666667
misread_by_pattern,pooled,Conflict,Consensus,NON_MISREAD,71,92,0.7717391304347826
misread_by_pattern,pooled,Conflict,Consensus,MISREAD,21,92,0.22826086956521738
misread_by_pattern,pooled,Conflict,Balanced,NON_MISREAD,0,1,0.0
misread_by_pattern,pooled,Conflict,Balanced,MISREAD,1,1,1.0
misread_by_pattern,pooled,Conflict,Dominant,NON_MISREAD,123,161,0.7639751552795031
misread_by_pattern,pooled,Conflict,Dominant,MISREAD,38,161,0.2360248447204969
